"Timestamp","Name:","NAS-ANA","NAS-ANA series length:","OTT-PIT","OTT-PIT series length:"
"2017/05/11 10:26:51 am GMT-4","Results","Nashville Predators","6 Games","Pittsburgh Penguins","7 Games"
"2017/05/11 10:26:51 am GMT-4","Kyle","Anaheim Ducks","6 Games","Ottawa Senators","7 Games"
"2017/05/11 10:34:42 am GMT-4","Alita","Nashville Predators","6 Games","Ottawa Senators","7 Games"
"2017/05/11 12:05:39 pm GMT-4","Michael","Anaheim Ducks","6 Games","Ottawa Senators","6 Games"
"2017/05/11 2:36:30 pm GMT-4","Jackson","Nashville Predators","6 Games","Ottawa Senators","6 Games"
"2017/05/11 4:34:24 pm GMT-4","Jeremy","Nashville Predators","6 Games","Pittsburgh Penguins","7 Games"
"2017/05/11 8:11:31 pm GMT-4","David","Nashville Predators","6 Games","Pittsburgh Penguins","6 Games"
"2017/05/11 11:05:03 pm GMT-4","Ron","Nashville Predators","7 Games","Pittsburgh Penguins","6 Games"
"2017/05/12 12:37:37 am GMT-4","Kollin","Anaheim Ducks","5 Games","Pittsburgh Penguins","6 Games"
"2017/05/12 7:26:32 am GMT-4","Brian","Nashville Predators","6 Games","Pittsburgh Penguins","7 Games"
"2017/05/12 4:52:12 pm GMT-4","Andre","Nashville Predators","6 Games","Pittsburgh Penguins","6 Games"
"2017/05/12 9:48:25 pm GMT-4","Anthony","Nashville Predators","6 Games","Pittsburgh Penguins","7 Games"
"2017/05/13 11:40:09 am GMT-4","Romulus","Nashville Predators","6 Games","Pittsburgh Penguins","6 Games"
"2017/05/13 3:39:33 pm GMT-4","Josh","Nashville Predators","6 Games","Pittsburgh Penguins","6 Games"
