"Timestamp","Name:","VGK-WPG","VGK-WPG series length:","TBL-WAS","TBL-WAS series length:"
"2018/05/11 12:34:14 am GMT-4","Results","Vegas Golden Knights","5 Games","Washington Capitals","7 Games"
"2018/05/11 12:34:14 am GMT-4","Kollin","Vegas Golden Knights","6 Games","Tampa Bay Lightning","5 Games"
"2018/05/11 1:24:23 am GMT-4","Jackson","Vegas Golden Knights","5 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 1:31:29 am GMT-4","Kyle","Winnipeg Jets","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 3:09:29 am GMT-4","Andres","Winnipeg Jets","6 Games","Washington Capitals","5 Games"
"2018/05/11 5:23:53 am GMT-4","Andrew","Winnipeg Jets","5 Games","Washington Capitals","5 Games"
"2018/05/11 6:11:25 am GMT-4","Ron","Winnipeg Jets","7 Games","Washington Capitals","6 Games"
"2018/05/11 8:35:20 am GMT-4","David","Winnipeg Jets","7 Games","Tampa Bay Lightning","5 Games"
"2018/05/11 3:29:40 pm GMT-4","Andre","Vegas Golden Knights","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 6:32:35 pm GMT-4","Michael","Winnipeg Jets","6 Games","Tampa Bay Lightning","7 Games"
"2018/05/11 7:48:19 pm GMT-4","Anthony","Winnipeg Jets","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 8:52:52 pm GMT-4","Romulus","Winnipeg Jets","4 Games","Washington Capitals","7 Games"
"2018/05/11 8:53:32 pm GMT-4","Brian","Winnipeg Jets","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/12 12:33:42 pm GMT-4","Josh","Winnipeg Jets","6 Games","Tampa Bay Lightning","7 Games"
